DP Date;P Produit;c Chute;reincorpo_maxi(p, dp, c)
2022-04-15 00:00:00;product_10;chute_2;1208
2022-04-16 00:00:00;product_10;chute_2;1208
2022-04-20 00:00:00;product_10;chute_2;1208
2022-04-21 00:00:00;product_10;chute_2;1208
2022-04-22 00:00:00;product_10;chute_2;1208
2022-05-03 00:00:00;product_10;chute_2;1243
2022-05-04 00:00:00;product_10;chute_2;1243
2022-05-05 00:00:00;product_10;chute_2;1243
2022-04-01 00:00:00;product_13;chute_2;20234
2022-04-02 00:00:00;product_13;chute_2;20234
2022-04-03 00:00:00;product_1;chute_3;592
2022-04-14 00:00:00;product_1;chute_3;592
2022-04-15 00:00:00;product_1;chute_3;1052
2022-04-16 00:00:00;product_1;chute_3;1052
2022-04-20 00:00:00;product_1;chute_3;1052
2022-04-21 00:00:00;product_1;chute_3;1052
2022-04-22 00:00:00;product_1;chute_3;1052
2022-05-03 00:00:00;product_1;chute_3;1504
2022-05-04 00:00:00;product_1;chute_3;1504
2022-05-05 00:00:00;product_1;chute_3;1504
2022-03-24 00:00:00;product_10;chute_3;1220
2022-03-25 00:00:00;product_10;chute_3;1220
2022-03-26 00:00:00;product_10;chute_3;1220
2022-04-01 00:00:00;product_10;chute_3;1220
2022-04-02 00:00:00;product_10;chute_3;1220
2022-04-03 00:00:00;product_10;chute_3;1196
2022-04-14 00:00:00;product_10;chute_3;1196
2022-04-15 00:00:00;product_10;chute_3;1208
2022-04-16 00:00:00;product_10;chute_3;1208
2022-04-20 00:00:00;product_10;chute_3;1208
2022-04-21 00:00:00;product_10;chute_3;1208
2022-04-22 00:00:00;product_10;chute_3;1208
2022-05-03 00:00:00;product_10;chute_3;1243
2022-05-04 00:00:00;product_10;chute_3;1243
2022-05-05 00:00:00;product_10;chute_3;1243
2022-04-03 00:00:00;product_15;chute_4;26479
2022-04-04 00:00:00;product_15;chute_4;26479
2022-04-05 00:00:00;product_15;chute_4;26479
2022-04-06 00:00:00;product_15;chute_4;26479
2022-04-07 00:00:00;product_15;chute_4;26479
2022-04-08 00:00:00;product_15;chute_4;26479
2022-04-09 00:00:00;product_15;chute_4;26479
2022-04-10 00:00:00;product_15;chute_4;26479
2022-04-11 00:00:00;product_15;chute_4;26479
